관리번호,주소,교차로명,교차로번호,설치일자,신호등 종류,신호등 재질,신호등 전구,경도,위도
18045,동구 구도동 409 도,남대전교차로11(경),1514,2013-04-17,경보등,LED,3색등,127.4717565,36.26871918
18044,동구 구도동 409 도,남대전교차로11(경),1514,2013-04-17,경보등,LED,3색등,127.471809,36.26868317
18043,동구 구도동 409 도,남대전교차로11(경),1514,2013-04-17,경보등,LED,3색등,127.471809,36.26868317
18042,동구 구도동 164-51도,남대전나들목네거리,298,2000-11-28,차량등,LED,4색등,127.4727786,36.27230878
18041,동구 구도동 164-51도,남대전나들목네거리,298,2000-11-28,차량등,LED,4색등,127.4727683,36.27229018
18040,동구 구도동 164-75도,남대전나들목네거리,298,2000-11-28,보행등,LED,2색등,127.4722718,36.27234163
18039,동구 구도동 164-51도,남대전나들목네거리,298,2000-11-28,차량등,LED,4색등,127.4722927,36.27243946
18038,동구 구도동 165-3 도,구도삼거리,197,2013-04-17,보행등,LED,2색등,127.4696897,36.2730855
18037,동구 구도동 165-3 도,구도삼거리,197,2013-04-17,차량등,LED,3색등,127.4697114,36.27315426
18036,동구 구도동 313-2도,구도삼거리,197,2013-04-17,보행등,LED,2색등,127.4697923,36.27335938
18035,동구 구도동 165-3 도,구도삼거리,197,2013-04-17,차량등,LED,4색등,127.4697902,36.2732875
18034,동구 구도동 165-3 도,구도삼거리,197,2013-04-17,차량등,LED,4색등,127.4697765,36.27325748
18033,동구 구도동 164-2도,남대전나들목네거리,298,2000-11-28,보행등,LED,2색등,127.4725376,36.2726707
18032,동구 구도동 164-51도,남대전나들목네거리,298,2000-11-28,차량등,LED,4색등,127.4725331,36.27261064
18031,동구 구도동 164-51도,남대전나들목네거리,298,2000-11-28,차량등,LED,4색등,127.4725147,36.27258026
18030,동구 구도동 164-51도,남대전나들목네거리,298,2000-11-28,차량등,LED,4색등,127.4726788,36.27252398
18029,동구 구도동 164-2도,남대전나들목네거리,298,2000-11-28,차량등,LED,4색등,127.4726593,36.27262898
18028,동구 구도동 164-2도,남대전나들목네거리,298,2000-11-28,차량등,LED,4색등,127.4726593,36.27262898
18027,동구 구도동 409 도,남대전나들목네거리,298,2000-11-28,보행등,LED,2색등,127.4725636,36.27217693
18026,동구 구도동 409 도,남대전나들목네거리,298,2000-11-28,차량등,LED,4색등,127.4724858,36.2721758
18025,동구 구도동 409 도,남대전나들목네거리,298,2000-11-28,차량등,LED,4색등,127.4724682,36.27218075
18024,동구 구도동 409 도,남대전나들목네거리,298,2000-11-28,차량등,LED,4색등,127.4724506,36.2721857
18023,동구 구도동 409 도,남대전교차로10(경),1511,2013-04-17,경보등,LED,3색등,127.4720652,36.27003448
18022,동구 구도동 409 도,남대전교차로10(경),1511,2013-04-17,경보등,LED,3색등,127.4720114,36.27009465
18021,동구 구도동 409 도,남대전교차로10(경),1511,2013-04-17,경보등,LED,3색등,127.4720114,36.27009465
18020,동구 구도동 405 도,로젠물류센터네거리,524,2013-04-17,보행등,LED,2색등,127.4692293,36.27217797
18019,동구 구도동 405 도,로젠물류센터네거리,524,2013-04-17,차량등,LED,4색등,127.4692466,36.27214465
18018,동구 구도동 405 도,로젠물류센터네거리,524,2013-04-17,차량등,LED,4색등,127.4692391,36.27212396
18017,동구 구도동 405 도,로젠물류센터네거리,524,2013-04-17,보행등,LED,2색등,127.4691927,36.27203608
18016,동구 구도동 405 도,로젠물류센터네거리,524,2013-04-17,차량등,LED,4색등,127.4692041,36.27207602
18015,동구 낭월동 91-2천,구도삼거리,197,2013-04-17,차량등,LED,3색등,127.4695215,36.27342864
18014,동구 낭월동 91-2천,구도삼거리,197,2013-04-17,차량등,LED,4색등,127.4694143,36.27337732
18013,동구 구도동 406 도,구도삼거리,197,2013-04-17,보행등,LED,2색등,127.4694549,36.27304135
18012,동구 구도동 406 도,구도삼거리,197,2013-04-17,차량등,LED,3색등,127.469383,36.27303711
18011,동구 구도동 406 도,구도삼거리,197,2013-04-17,차량등,LED,3색등,127.4693505,36.27304516
18010,동구 구도동 406 도,로젠물류센터네거리,524,2013-04-17,보행등,LED,2색등,127.4691865,36.27234339
18009,동구 구도동 406 도,로젠물류센터네거리,524,2013-04-17,차량등,LED,4색등,127.4691438,36.27235394
18008,동구 구도동 406 도,로젠물류센터네거리,524,2013-04-17,차량등,LED,4색등,127.4691153,36.27236098
18007,동구 구도동 407 도,엑스포관광네거리,525,2013-04-17,보행등,LED,2색등,127.4684942,36.271114
18006,동구 구도동 407 도,엑스포관광네거리,525,2013-04-17,차량등,LED,4색등,127.4685755,36.27111542
18005,동구 구도동 407 도,엑스포관광네거리,525,2013-04-17,차량등,LED,4색등,127.4686595,36.27114858
18004,동구 구도동 407 도,엑스포관광네거리,525,2013-04-17,차량등,LED,4색등,127.4686337,36.27115555
18003,동구 구도동 407 도,엑스포관광네거리,525,2013-04-17,보행등,LED,2색등,127.468683,36.27107698
18002,동구 구도동 405 도,엑스포관광네거리,525,2013-04-17,차량등,LED,4색등,127.4685935,36.27090473
18001,동구 구도동 405 도,엑스포관광네거리,525,2013-04-17,차량등,LED,4색등,127.4684924,36.27088572
18000,동구 구도동 405 도,엑스포관광네거리,525,2013-04-17,보행등,LED,2색등,127.4683219,36.27092562
17999,동구 구도동 405 도,엑스포관광네거리,525,2013-04-17,차량등,LED,4색등,127.4683121,36.27096931
17998,동구 구도동 405 도,남대전교차로8(경),1512,2013-04-17,경보등,LED,3색등,127.4662359,36.2715608
17997,동구 구도동 405 도,남대전교차로8(경),1512,2013-04-17,경보등,LED,3색등,127.4662359,36.2715608
17996,동구 구도동 405 도,남대전교차로8(경),1512,2013-04-17,경보등,LED,3색등,127.4662248,36.27160571
17995,동구 구도동 405 도,남대전교차로6(경),1513,2013-04-17,경보등,LED,3색등,127.4658244,36.27287555
17994,동구 구도동 405 도,남대전교차로6(경),1513,2013-04-17,경보등,LED,3색등,127.4658244,36.27287555
17993,동구 구도동 405 도,남대전교차로6(경),1513,2013-04-17,경보등,LED,3색등,127.4660584,36.27296791
17992,동구 구도동 405 도,남대전교차로6(경),1513,2013-04-17,경보등,LED,3색등,127.4660584,36.27296791
17991,동구 구도동 405 도,로젠물류센터네거리,524,2013-04-17,차량등,LED,4색등,127.4687707,36.27217488
17990,동구 구도동 405 도,로젠물류센터네거리,524,2013-04-17,차량등,LED,4색등,127.4687617,36.2721588
17989,동구 구도동 405 도,로젠물류센터네거리,524,2013-04-17,보행등,LED,2색등,127.4687913,36.27227869
17988,동구 구도동 405 도,로젠물류센터네거리,524,2013-04-17,차량등,LED,4색등,127.4687736,36.27223516
17987,동구 구도동 407 도,로젠물류센터네거리,524,2013-04-17,보행등,LED,2색등,127.4690206,36.27196317
17986,동구 구도동 407 도,로젠물류센터네거리,524,2013-04-17,보행등,LED,2색등,127.4688337,36.27198715
17985,동구 구도동 407 도,로젠물류센터네거리,524,2013-04-17,차량등,LED,4색등,127.4688952,36.27197116
17984,동구 구도동 406 도,로젠물류센터네거리,524,2013-04-17,보행등,LED,2색등,127.4689591,36.27236896
17983,동구 구도동 406 도,로젠물류센터네거리,524,2013-04-17,차량등,LED,4색등,127.4690648,36.27236408
17982,동구 구도동 406 도,로젠물류센터네거리,524,2013-04-17,차량등,LED,4색등,127.4690418,36.27236936
17981,동구 구도동 406 도,구도삼거리,197,2013-04-17,보행등,LED,2색등,127.4692231,36.27309079
17980,동구 낭월동 912 도,구도삼거리,197,2013-04-17,차량등,LED,3색등,127.4692017,36.2732854
17979,동구 낭월동 912 도,구도삼거리,197,2013-04-17,차량등,LED,3색등,127.4691927,36.27326041
17978,동구 낭월동 910 도,낭월교(경),1853,2009-01-20,경보등,LED,3색등,127.4649009,36.27553417
17977,동구 낭월동 910 도,낭월교(경),1853,2009-01-20,경보등,LED,3색등,127.4648721,36.27551578
17976,동구 낭월동 208-11대,산내주공오거리,533,2005-09-14,보행등,LED,2색등,127.4663004,36.28398899
17975,동구 낭월동 200-3도,산내주공오거리,533,2005-09-14,보행등,LED,2색등,127.4663672,36.28390199
17974,동구 낭월동 200-3도,산내주공오거리,533,2005-09-14,보행등,LED,2색등,127.4663672,36.28390199
17973,동구 낭월동 200-2도,산내주공오거리,533,2005-09-14,보행등,LED,2색등,127.4662116,36.28405625
17972,동구 낭월동 292-5구,산내주공오거리,533,2005-09-14,차량등,LED,5색등,127.466175,36.28401895
17971,동구 낭월동 673도,산내주공오거리,533,2005-09-14,차량등,LED,5색등,127.4661482,36.28400809
17970,동구 낭월동 722도,산내119센터(경),1843,2010-04-28,경보등,LED,3색등,127.4678464,36.28217679
17969,동구 낭월동 722도,산내119센터(경),1843,2010-04-28,경보등,LED,3색등,127.4679431,36.282142
17968,동구 낭월동 722도,산내119센터(경),1843,2010-04-28,경보등,LED,3색등,127.4678464,36.28217679
17967,동구 낭월동 722도,산내119센터(경),1843,2010-04-28,경보등,LED,3색등,127.4679431,36.282142
17966,동구 낭월동 683도,효광원(경),1829,2005-09-14,경보등,LED,3색등,127.4661378,36.28006841
17965,동구 낭월동 683도,효광원(경),1829,2005-09-14,경보등,LED,3색등,127.4661378,36.28006841
17964,동구 낭월동 674도,산내주공오거리,533,2005-09-14,보행등,LED,2색등,127.4658819,36.28394151
17963,동구 낭월동 674도,산내주공오거리,533,2005-09-14,차량등,LED,5색등,127.465902,36.28388519
17962,동구 낭월동 674도,산내주공오거리,533,2005-09-14,차량등,LED,5색등,127.4659124,36.28385634
17961,동구 낭월동 288-19천,산내초교후문(단),1275,2015-12-16,보조등,LED,1색등,127.4699136,36.27998394
17960,동구 낭월동 288-19천,산내초교후문(단),1275,2015-12-16,보행등,LED,2색등,127.4698876,36.27998793
17959,동구 낭월동 716도,산내초교후문(단),1275,2015-12-16,보행등,LED,2색등,127.4698336,36.27990746
17958,동구 낭월동 716도,산내초교후문(단),1275,2015-12-16,보조등,LED,1색등,127.4698072,36.27991187
17957,동구 낭월동 288-19천,산내초교후문(단),1275,2015-12-16,차량등,LED,3색등,127.4698133,36.27995635
17956,동구 낭월동 716도,산내초교후문(단),1275,2015-12-16,차량등,LED,3색등,127.4698114,36.27994258
17955,동구 낭월동 288-19천,산내초교후문(단),1275,2015-12-16,차량등,LED,3색등,127.4698133,36.27995635
17954,동구 낭월동 716도,산내초교후문(단),1275,2015-12-16,차량등,LED,3색등,127.4698114,36.27994258
17953,동구 낭월동 716도,낭월네거리,531,2005-09-14,보행등,LED,2색등,127.4684601,36.28000347
17952,동구 낭월동 716도,낭월네거리,531,2005-09-14,차량등,LED,4색등,127.4684497,36.28003688
17951,동구 낭월동 288-19천,낭월네거리,531,2005-09-14,차량등,LED,4색등,127.4684438,36.28005571
17950,동구 낭월동 673도,낭월네거리,531,2005-09-14,보행등,LED,2색등,127.4680447,36.28023056
17949,동구 낭월동 199도,낭월네거리,531,2005-09-14,보행등,LED,2색등,127.4681648,36.28029677
17948,동구 낭월동 199도,낭월네거리,531,2005-09-14,차량등,LED,4색등,127.4681394,36.28028612
17947,동구 낭월동 199도,낭월네거리,531,2005-09-14,차량등,LED,4색등,127.4681248,36.28028
17946,동구 낭월동 673도,산내PB(경),1842,2011-09-30,경보등,LED,3색등,127.4678112,36.28079454
17945,동구 낭월동 673도,산내PB(경),1842,2011-09-30,경보등,LED,3색등,127.4678112,36.28079454
17944,동구 낭월동 673도,산내PB(경),1842,2011-09-30,경보등,LED,3색등,127.4676725,36.28089543
17943,동구 낭월동 673도,산내PB(경),1842,2011-09-30,경보등,LED,3색등,127.4676725,36.28089543
17942,동구 낭월동 190-8도,산내PB네거리,532,2005-09-14,보행등,LED,2색등,127.4672706,36.28209559
17941,동구 낭월동 722도,산내PB네거리,532,2005-09-14,보행등,LED,2색등,127.4674154,36.28198821
17940,동구 낭월동 722도,산내PB네거리,532,2005-09-14,차량등,LED,4색등,127.4674054,36.28200845
17939,동구 낭월동 722도,산내PB네거리,532,2005-09-14,차량등,LED,4색등,127.4674054,36.28200845
17938,동구 낭월동 190-1대,산내PB네거리,532,2005-09-14,보행등,LED,2색등,127.4674262,36.28175584
17937,동구 낭월동 673도,산내PB네거리,532,2005-09-14,보행등,LED,2색등,127.4672403,36.28175077
17936,동구 낭월동 673도,산내PB네거리,532,2005-09-14,차량등,LED,4색등,127.4672905,36.28179247
17935,동구 낭월동 673도,산내PB네거리,532,2005-09-14,차량등,LED,4색등,127.46727,36.28178559
17934,동구 낭월동 673도,산내PB네거리,532,2005-09-14,보행등,LED,2색등,127.4671541,36.28185902
17933,동구 낭월동 373대,산내PB네거리,532,2005-09-14,보행등,LED,2색등,127.467088,36.28197866
17932,동구 낭월동 673도,산내PB네거리,532,2005-09-14,차량등,LED,4색등,127.4671265,36.28196056
17931,동구 낭월동 673도,산내PB네거리,532,2005-09-14,차량등,LED,4색등,127.4671318,36.28195065
17930,동구 낭월동 192-6도,산내PB네거리,532,2005-09-14,차량등,LED,4색등,127.4672288,36.28208082
17929,동구 낭월동 199도,산내PB네거리,532,2005-09-14,차량등,LED,4색등,127.4671977,36.28206821
17928,동구 낭월동 673도,낭월편안세상(경),1836,2011-09-30,경보등,LED,3색등,127.4667327,36.28270717
17927,동구 낭월동 673도,낭월편안세상(경),1836,2011-09-30,경보등,LED,3색등,127.4668578,36.28265582
17926,동구 낭월동 673도,낭월편안세상(경),1836,2011-09-30,경보등,LED,3색등,127.4668578,36.28265582
17925,동구 낭월동 292-5구,산내주공오거리,533,2005-09-14,보행등,LED,2색등,127.4664001,36.28372697
17924,동구 낭월동 292-5구,산내주공오거리,533,2005-09-14,보행등,LED,2색등,127.4664205,36.28373069
17923,동구 낭월동 673도,산내주공오거리,533,2005-09-14,보행등,LED,2색등,127.4662195,36.28364462
17922,동구 낭월동 673도,산내주공오거리,533,2005-09-14,차량등,LED,5색등,127.4662973,36.28369189
17921,동구 낭월동 673도,산내주공오거리,533,2005-09-14,차량등,LED,5색등,127.466274,36.28368425
17920,동구 낭월동 673도,산내주공오거리,533,2005-09-14,차량등,LED,5색등,127.4659711,36.28407932
17919,동구 낭월동 673도,산내주공오거리,533,2005-09-14,차량등,LED,5색등,127.4659607,36.28406601
17918,동구 낭월동 673도,산내주공오거리,533,2005-09-14,보행등,LED,2색등,127.4659493,36.28402137
17917,동구 낭월동 673도,오투그란데삼거리,535,2008-11-11,차량등,LED,4색등,127.4652084,36.28583184
17916,동구 낭월동 673도,오투그란데삼거리,535,2008-11-11,차량등,LED,4색등,127.4652084,36.28583184
17915,동구 낭월동 673도,오투그란데삼거리,535,2008-11-11,차량등,LED,4색등,127.4651773,36.28582547
17914,동구 낭월동 673도,오투그란데삼거리,535,2008-11-11,보행등,LED,2색등,127.4651198,36.28581373
17913,동구 낭월동 673도,오투그란데삼거리,535,2008-11-11,보행등,LED,2색등,127.4651235,36.28579329
17912,동구 낭월동 200-2도,오투그란데삼거리,535,2008-11-11,보행등,LED,2색등,127.4653196,36.28586362
17911,동구 낭월동 293구,오투그란데삼거리,535,2008-11-11,차량등,LED,3색등,127.4653093,36.2858992
17910,동구 대성동 293구,오투그란데삼거리,535,2008-11-11,차량등,LED,3색등,127.4653022,36.28592328
17909,동구 낭월동 673도,오투그란데삼거리,535,2008-11-11,차량등,LED,4색등,127.4651992,36.28601413
17908,동구 대성동 344-2도,오투그란데삼거리,535,2008-11-11,차량등,LED,4색등,127.4652299,36.28601935
17907,동구 낭월동 673도,오투그란데삼거리,535,2008-11-11,차량등,LED,4색등,127.4651992,36.28601413
17904,동구 대성동 397도,대별삼거리,1435,1992-09-05,보조등,LED,3색등,127.4637193,36.28895373
17903,동구 대성동 397도,대별삼거리,1435,1992-09-05,보행등,LED,2색등,127.4637076,36.28897673
17902,동구 대성동 306-24도,대별삼거리,1435,1992-09-05,보행등,LED,2색등,127.4635279,36.28885997
17901,동구 낭월동 909 도,남대전교차로4(경),1518,2013-04-17,경보등,LED,3색등,127.4675161,36.27489198
17900,동구 낭월동 909 도,남대전교차로4(경),1518,2013-04-17,경보등,LED,3색등,127.4675161,36.27489198
17899,동구 낭월동 909 도,석천들네거리,526,2013-04-17,보행등,LED,2색등,127.4678355,36.27626288
17898,동구 낭월동 909 도,석천들네거리,526,2013-04-17,보행등,LED,2색등,127.467939,36.27626343
17897,동구 낭월동 909 도,석천들네거리,526,2013-04-17,차량등,LED,4색등,127.467897,36.27624828
17896,동구 낭월동 909 도,석천들네거리,526,2013-04-17,차량등,LED,4색등,127.4678776,36.27625195
17895,동구 낭월동 909 도,남대전교차로2(경),1516,2013-04-17,경보등,LED,3색등,127.4677737,36.27595832
17894,동구 낭월동 909 도,남대전교차로2(경),1516,2013-04-17,경보등,LED,3색등,127.4677737,36.27595832
17893,동구 낭월동 909 도,남대전교차로2(경),1516,2013-04-17,경보등,LED,3색등,127.4676853,36.27608016
17892,동구 낭월동 909 도,남대전교차로2(경),1516,2013-04-17,경보등,LED,3색등,127.4676853,36.27608016
17891,동구 낭월동 909 도,남대전교차로3(경),1517,2013-04-17,경보등,LED,3색등,127.4656595,36.27537843
17890,동구 낭월동 909 도,남대전교차로3(경),1517,2013-04-17,경보등,LED,3색등,127.4656595,36.27537843
17889,동구 낭월동 909 도,남대전교차로3(경),1517,2013-04-17,경보등,LED,3색등,127.4657138,36.27531794
